focal_quintile,atc_archetype,obs,model,symmetric,null,n,flow,panel
1,SC_General,0.161236268851238,0.170438401004171,0.22073673848478,0.20262151598381,5371,Adoption,Panel A
2,SC_General,0.149679673849738,0.185207513737345,0.205855444546672,0.204177189023388,5151,Adoption,Panel A
3,SC_General,0.225395326882228,0.215755264247237,0.201686833121997,0.213195085354773,4237,Adoption,Panel A
4,SC_General,0.297590770274856,0.256577108442507,0.207588393602834,0.224543587442382,2947,Adoption,Panel A
5,SC_General,0.339890210430009,0.307540563574977,0.228614643454992,0.231914742407398,2186,Adoption,Panel A
1,SC_Specialized,0.0891440148573358,0.113477799416641,0.170831115423204,0.147959994866723,5923,Adoption,Panel A
2,SC_Specialized,0.099834528405957,0.131700429501388,0.152578885642433,0.150424182809773,5439,Adoption,Panel A
3,SC_Specialized,0.206411258795934,0.170073385154453,0.14796537066238,0.164086301113295,3837,Adoption,Panel A
4,SC_Specialized,0.300042140750105,0.229286241062914,0.156812301267544,0.184095470499957,2373,Adoption,Panel A
5,SC_Specialized,0.306231454005935,0.30022674897246,0.183639186439222,0.1958538132,1685,Adoption,Panel A
1,Physical_Terminal,0.330919931856899,0.222642463048812,0.161825403212799,0.145769381212333,2348,Adoption,Panel A
2,Physical_Terminal,0.265592151366503,0.199602596177262,0.166923169453617,0.143793127879141,2854,Adoption,Panel A
3,Physical_Terminal,0.169008430349257,0.158953786495241,0.153088604358912,0.138370329673603,4982,Adoption,Panel A
4,Physical_Terminal,0.0832613079804091,0.120230337486149,0.132663759752983,0.134020711367709,6942,Adoption,Panel A
5,Physical_Terminal,0.0579474342928661,0.0874872580723946,0.109886873653271,0.130865529412474,7990,Adoption,Panel A
1,SC_General,0.480392156862745,0.434457727874229,0.240422182452866,0.279219794741245,1938,Abandonment,Panel A
2,SC_General,0.393711872360394,0.369942712978219,0.262374661446735,0.272777171957254,2131,Abandonment,Panel A
3,SC_General,0.288036410923277,0.284909631738691,0.273615441435958,0.25958728630707,3076,Abandonment,Panel A
4,SC_General,0.182661837935718,0.213849880974206,0.267741315434377,0.249279201842678,4418,Abandonment,Panel A
5,SC_General,0.158705701078582,0.160921074252354,0.238332566582297,0.243598093335458,5192,Abandonment,Panel A
1,SC_Specialized,0.450450450450451,0.389437718624682,0.173191847348121,0.217885087760272,1221,Abandonment,Panel A
2,SC_Specialized,0.335168195718654,0.318532106653935,0.194464095318051,0.212158874300193,1635,Abandonment,Panel A
3,SC_Specialized,0.222395508421709,0.226332808809979,0.205448640644854,0.195848158089101,3206,Abandonment,Panel A
4,SC_Specialized,0.126678215677783,0.151758569015027,0.195452586280599,0.179274447218303,4618,Abandonment,Panel A
5,SC_Specialized,0.109767617608162,0.104715059188209,0.167450518051325,0.171604829668075,5293,Abandonment,Panel A
1,Physical_Terminal,0.0944736468248331,0.123761774281419,0.145045169572324,0.145117996746107,7039,Abandonment,Panel A
2,Physical_Terminal,0.101391035548686,0.138032091346651,0.145195045704008,0.147523686278217,6470,Abandonment,Panel A
3,Physical_Terminal,0.209811146936895,0.173294326712865,0.161053930631946,0.162723712769464,4342,Abandonment,Panel A
4,Physical_Terminal,0.298908480268682,0.21872067823311,0.186095389561721,0.182503904128147,2382,Abandonment,Panel A
5,Physical_Terminal,0.319340329835083,0.249145625044198,0.200186802484488,0.18948473867446,1334,Abandonment,Panel A
1,SC_General,0.161236268851238,0.191059367146673,0.209432158463042,0.20133079848627,5371,Adoption,Panel B
2,SC_General,0.149679673849738,0.194661279644117,0.203923037273379,0.203076969846102,5151,Adoption,Panel B
3,SC_General,0.225395326882228,0.211261296843696,0.208278118203384,0.213206019349428,4237,Adoption,Panel B
4,SC_General,0.297590770274856,0.236476015421373,0.218672637448788,0.226476647918362,2947,Adoption,Panel B
5,SC_General,0.339890210430009,0.270407582735636,0.233224926931349,0.235051342931668,2186,Adoption,Panel B
1,SC_Specialized,0.0891440148573358,0.127338883956333,0.161426797157585,0.147560692059333,5923,Adoption,Panel B
2,SC_Specialized,0.099834528405957,0.138953532385358,0.151621118427734,0.150099800973509,5439,Adoption,Panel B
3,SC_Specialized,0.206411258795934,0.167304467030931,0.154544042370876,0.164115913953582,3837,Adoption,Panel B
4,SC_Specialized,0.300042140750105,0.210970575376934,0.167899053683787,0.184863616807748,2373,Adoption,Panel B
5,SC_Specialized,0.306231454005935,0.260189532052572,0.189193989953913,0.197160448197546,1685,Adoption,Panel B
1,Physical_Terminal,0.330919931856899,0.237303994233606,0.168128304609415,0.148968557779978,2348,Adoption,Panel B
2,Physical_Terminal,0.265592151366503,0.204301210181006,0.17285732659198,0.14604038839575,2854,Adoption,Panel B
3,Physical_Terminal,0.169008430349257,0.157271706305046,0.154877550682591,0.138734266398095,4982,Adoption,Panel B
4,Physical_Terminal,0.0832613079804091,0.117042351870196,0.131250812046145,0.133191308188474,6942,Adoption,Panel B
5,Physical_Terminal,0.0579474342928661,0.0853190467949211,0.106027148238981,0.129616351622102,7990,Adoption,Panel B
1,SC_General,0.480392156862745,0.320431985614246,0.267396479256619,0.280412917397187,1938,Abandonment,Panel B
2,SC_General,0.393711872360394,0.302118295623776,0.270482118665371,0.273605931335302,2131,Abandonment,Panel B
3,SC_General,0.288036410923277,0.271005716361923,0.264906152428276,0.259737202041806,3076,Abandonment,Panel B
4,SC_General,0.182661837935718,0.241485506958644,0.255019655262236,0.24890745148336,4418,Abandonment,Panel B
5,SC_General,0.158705701078582,0.216039676321033,0.240922819655268,0.243040327426792,5192,Abandonment,Panel B
1,SC_Specialized,0.450450450450451,0.27546339715747,0.199158365686562,0.217493576294744,1221,Abandonment,Panel B
2,SC_Specialized,0.335168195718654,0.250700520115555,0.205086265045968,0.211871868018753,1635,Abandonment,Panel B
3,SC_Specialized,0.222395508421709,0.209721268362937,0.200021031154463,0.195767078126887,3206,Abandonment,Panel B
4,SC_Specialized,0.126678215677783,0.171111514709615,0.185862663879496,0.179367903249523,4618,Abandonment,Panel B
5,SC_Specialized,0.109767617608162,0.145136044123398,0.169833854103374,0.171751369909722,5293,Abandonment,Panel B
1,Physical_Terminal,0.0944736468248331,0.101888679959826,0.144455971281274,0.144012574852638,7039,Abandonment,Panel B
2,Physical_Terminal,0.101391035548686,0.126100168858402,0.136745151754135,0.146626765549654,6470,Abandonment,Panel B
3,Physical_Terminal,0.209811146936895,0.181701700213646,0.154340839709938,0.163032995341606,4342,Abandonment,Panel B
4,Physical_Terminal,0.298908480268682,0.259264624844504,0.199588186817398,0.185376491030399,2382,Abandonment,Panel B
5,Physical_Terminal,0.319340329835083,0.322615026492571,0.242059670167993,0.193534910927181,1334,Abandonment,Panel B
